"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"CORNERSTONE BAPTIST CHURCH","","","","50","Ground water","656 HOFFMAN ROAD
WEST END, NC 27376","","",""
"CORNERSTONE BAPTIST CHURCH","","","","25","Ground water","1110 NC 62 WEST
HIGH POINT, NC 27263","","",""
"CORNERSTONE BIBLE CHURCH","","","","75","Ground water","5707 GUESS RD
DURHAM, NC 27712","919-479-0189","",""
"CORNERSTONE CHILD DEV CENTER EAST","","","","79","Ground water","PO BOX 2045
SALISBURY, NC 28145","704-855-1218","",""
"CORNERSTONE CHURCH","","","","80","Ground water","PO BOX 2045
SALISBURY, NC 28145","704-855-1218","",""
"CORNERSTONE EVENT CENTER","","","","25","Ground water","PO BOX 2045
SALISBURY, NC 28145","704-855-1218","",""
"CORNERSTONE FAMILY MINISTRIES","","","","25","Ground water","3132 CORNERSTONE WAY
YADKINVILLE, NC 27055","","",""
"CORNERSTONE PRESBYTERIAN CHURCH","","","","35","Ground water","645 BERT LANE RD
BREVARD, NC 28712","828-884-3305","",""
"CORNING INC","","","","1,001","Ground water","310 N COLLEGE RD
CORNING INC
WILMINGTON, NC 28405","910-784-6498","",""
"CORNITH CHURCH OF CHRIST","","","","50","Ground water","250 Beehive DR
CLEVELAND, NC 27013","","",""
"CORNUCOPIA","","","","200","Ground water","PO BOX 2732
CASHIERES, NC 28717","828-743-3750","",""
"CORRIHER HEIGHTS BAPTIST CH","","","","25","Ground water","1980 HWY 153
CHINA GROVE, NC 28023","704-859-1183","",""
"COTESWORTH DOWN S/D","","","","506","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"COTTAGES AT LAKE OSSEROGA","","","","93","Ground water","PO BOX 954
ATTN ENVIRONMENTAL INC - CULLOWHEE
CULLOWHEE, NC 28723","828-586-5588","",""
"COTTAGES OF BOONE","","","","786","Ground water","615 FALLVIEW LN
CAPSTONE COLLEGIATE COMMU
BOONE, NC 28607","828-865-1800","",""
"COTTONWOOD S/D","","","","200","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"COULTER`S GROVE AME ZION CH","","","","80","Ground water","4513 STARTOWN RD
NEWTON, NC 28658","828-465-1470","",""
"COUNTRY ACRES MH S/D","","","","208","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"COUNTRY ACRES MHP","","","","30","Ground water","25 KEITH MEMORIAL DR
MILLS RIVER, NC 28759-2522","828-891-3261","",""
"COUNTRY ACRES/SOUTHGATE","","","","668","Surface water purchased","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"COUNTRY CAFE","","","","25","Ground water","5075 HWY 268
DOBSON, NC 27017","336-374-4152","",""
"COUNTRY CLUB ANNEX","","","","69","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"COUNTRY CLUB MHP","","","","195","Ground water","PO BOX 711
ELON, NC 27244","","",""
"COUNTRY CORNER","","","","25","Ground water","PO BOX 489
ALEXIS, NC 28006","","",""
"COUNTRY CREEK S/D","","","","172","Ground water","7536 NC 39 HWY
ZEBULON, NC 27597","919-404-1668","",""
"COUNTRY CROSSING S/D","","","","135","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"COUNTRY CROSSING S/D","","","","183","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"COUNTRY CUPBOARD #2","","","","75","Ground water","322 EAST FISHER STREET, SUITE 101
SALSIBURY, NC 28144-5002","704-278-9100","",""
"COUNTRY ESTATES MHP","","","","60","Ground water","193 JOHN HORTON RD
APEX, NC 27523","","",""
"COUNTRY GARDEN FAMILY PARK B","","","","35","Ground water","540 SCOUT RD
SALISBURY, NC 28146","","",""
"COUNTRY GIRL`S RV PARK","","","","40","Ground water","1367 HYATT CREEK RD
BRYSON CITY, NC 28713","800-833-0435","",""
"COUNTRY HILL GOLF COURSE","","","","25","Ground water","5610 HICONE RD
GIBSONVILLE, NC 27249","336-375-8649","",""
"COUNTRY HILLS S/D","","","","257","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"COUNTRY HILLS S/D","","","","152","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"COUNTRY KNOLL S/D","","","","64","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"COUNTRY LIVING APTS","","","","66","Ground water","1785 ROUND HILL CIR.
KERNERSVILLE, NC 27284","336-310-9868","",""
"COUNTRY MEADOWS","","","","432","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"COUNTRY PLACE","","","","69","Ground water","2968 CHIMNEY ROCK RD
HENDERSONVILLE, NC 28792","828-685-8602","",""
"COUNTRY PLACE S/D","","","","160","Ground water","115 DELAWARE AVE
ASHEVILLE, NC 28806","828-337-8097","",""
"COUNTRY RETREAT FAM BILLIARDS","","","","25","Ground water","9021 HWY 105 SOUTH
BOONE, NC 28607","828-963-6260","",""
"COUNTRY RIDGE S/D","","","","60","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"COUNTRY SQUIRE ESTATES","","","","85","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"COUNTRY SQUIRE MOBILE ESTATES","","","","84","Ground water","205 SIERRA RIDGE DR
CLAYTON, NC 27527","919-359-8486","",""
"COUNTRY SQUIRE RESTAURANT","","","","75","Ground water","748 NC HWY 24/50
WARSAW, NC 28398","910-296-1727","",""
"COUNTRY STORE & GRILL","","","","30","Ground water","6192 HWY 96N
OXFORD, NC 27565","919-693-2420","",""
"COUNTRY TIME INN","","","","59","Ground water","602 BREVARD RD
ATTN: SHANNON HAGANS
KINGS MOUNTAIN, NC 28086","252-722-6136","",""
"COUNTRY VALLEY II MHP","","","","203","Ground water","1270 SHADY VALLEY LANE
INNOVATION PROPERTY MANAGEMENT
CLAREMOUNT, NC 28610","828-615-8181","",""
"COUNTRY VALLEY MH S/D","","","","206","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"COUNTRY VILLAGE MHP","","","","80","Ground water","PO BOX 469
MADISON, NC 27025","336-427-7141","",""
"COUNTRY WOODS RV PARK","","","","95","Ground water","60 COUNTRY WOODS DR
FRANKLIN, NC 28734","828-524-4339","",""
"COUNTRYSIDE ESTATES MHP","","","","99","Ground water","1207 SOUTH POINT ROAD
BELMONT, NC 28012","704-583-9319","",""
"COUNTRYSIDE S/D","","","","38","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"COUNTY LINE GROCERY & GRILL","","","","50","Ground water","2981 PILOT-RILEY RD
ZEBULON, NC 27597","919-269-0024","",""
"COUNTY LINE HWY 64 GROCERY","","","","25","Ground water","119 CAMPGROUND ROAD
STATESVILLE, NC 28625","704-546-7625","",""
"COVE CITY, TOWN OF","","","","440","Ground water purchased","P O BOX 8
COVE CITY, NC 28523","252-633-1595","",""
"COVE CREEK ELEMENTARY SCHOOL","","","","347","Ground water","PO BOX 1790
BOONE, NC 28607","828-264-6393","",""
"COVE CREEK PRESERVATION & DEV","","","","65","Ground water","PO BOX 344
SUGAR GROVE, NC 28679","","",""
"COVEY ROCK FWB CHURCH","","","","110","Ground water","6005 STATE HWY 197N
GREEN MOUNTAIN, NC 28740","828-385-0623","",""
"COVINGTON ACRES MHP","","","","226","Ground water","3625 BELVIDERE COURT
MURFREESBORO, TN 37124-7163","615-653-1543","",""
"COWAN VALLEY ESTATES","","","","53","Surface water purchased","P O BOX 954
CULLOWHEE, NC 28723","828-293-9396","",""
"COWEE BAPTIST CHURCH","","","","400","Ground water","510 COWEE CREEK RD
FRANKLIN, NC 28734","828-349-2499","",""
"COWEE CONVENIENCE","","","","100","Ground water","6368 BRYSON CITY RD
FRANKLIN, NC 28734","828-369-3364","",""
"COWEE MOUNTAIN S/D","","","","46","Ground water","PO BOX 954
ATTN ENVIRONMENTAL INC - CULLOWHEE
CULLOWHEE, NC 28723","828-586-5588","",""
"COWEETA HYDROLOGIC LABORATORY","","","","50","Ground water","3160 COWEETA LAB RD
OTTO, NC 28763","828-524-2128","",""
"COX MILL","","","","198","Ground water","PO BOX 7
LANDIS, NC 28088","704-857-7571","",""
"CRAB CREEK BAPTIST CHURCH","","","","200","Ground water","72 JETER MOUNTAIN RD
HENDERSONVILLE, NC 28739","828-692-3437","",""
"CRAB CREEK VALLEY S/D","","","","32","Ground water","50 ROCK VIEW CT
HENDERSONVILLE, NC 28739","828-702-1635","",""
"CRABTREE BAPTIST CHURCH","","","","100","Ground water","4669 CRABTREE RD
CLYDE, NC 28721","828-627-8523","",""
"CRABTREE FALLS","","","","40","Ground water","51 RANGER DR
ASHEVILLE, NC 28805","","",""
"CRABTREE II S/D","","","","79","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"CRADLE OF FORESTRY","","","","150","Ground water","1600 PISGAH HWY
PISGAH FOREST, NC 28768","828-877-3265","",""
"CRAGGY GARDENS VISITORS CENTER","","","","250","Ground water","51 RANGER DR
ASHEVILLE, NC 28805","","",""
"CRAIG MEMORIAL BAPTIST CHURCH","","","","125","Ground water","121 DEVINE STREET
STANLEY, NC 28164","704-263-8321","",""
"CRAIG`S GENERAL STORE","","","","25","Ground water","5710 HWY 751
APEX, NC 27523","919-387-0588","",""
"CRANBERRY BAPTIST CHURCH","","","","100","Ground water","1131 WILKES YADKIN RD
ROARING RIVER, NC 28669","336-984-3676","",""
"CRAVEN COUNTY WATER SYSTEM","","","","32,500","Ground water","2830 NEUSE BLVD
NEW BERN, NC 28562","252-636-6615","",""
"CREATIVE CHILD CARE","","","","115","Ground water","PO BOX 884
GRAHAM, NC 27253","336-578-7343","",""
"CREEKSIDE ESTATE","","","","488","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"CREEKSIDE LAKES","","","","25","Ground water","504 MAJOR DR
MANNING, SC 29102","","",""
"CREEKSIDE MOBILE VILLAGE","","","","165","Ground water","2054 KILDAIRE FARM RD #413
CARY, NC 27518","919-924-8907","",""
"CREEKSIDE MOUNTAIN CAMPING","","","","149","Ground water","PO BOX 251
BAT CAVE, NC 28710","828-625-4257","",""
"CREEKSIDE PLACE S/D","","","","355","Surface water purchased","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"CREEKSIDE SHORES S/D","","","","59","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"CREEKSTONE S/D","","","","498","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"CRESCENT RIDGE S/D","","","","242","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"CREST OF CAROLINA MASTER","","","","569","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"CRESTON SUPERETTE","","","","25","Ground water","1230 LITTLE LAURAL RD
CRESTON, NC 28615","","",""
"CRESTVIEW BAPTIST CHURCH","","","","200","Ground water","3258 PISGAH DR
CANTON, NC 28716","828-648-1110","",""
"CRESTVIEW ESTATES S/D","","","","83","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"CRESTVIEW S/D","","","","178","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"CRESTVIEW S/D","","","","135","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"CRESTWOOD ESTATES","","","","223","Surface water purchased","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"CRESWELL TOWN OF","","","","482","Ground water","PO BOX 68
CRESWELL, NC 27928","252-797-4852","",""
"CROOKED CREEK S/D","","","","279","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"CROOKED TREE GOLF COURSE","","","","25","Ground water","6081 SUMMIT AVENUE
BROWN SUMMIT, NC 27214","336-656-3211","",""
"CROSS COUNTRY CAMPGROUND INC","","","","627","Ground water","6254 HWY 150 EAST
DENVER, NC 28037","704-483-5897","",""
"CROSS CREEK MHP","","","","357","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"CROSS CREEK S/D","","","","104","Ground water","21 SOURWOOD WAY
ROBBINSVILLE, NC 28771","","",""
"CROSS OF CHRIST LUTHERAN CH","","","","180","Ground water","5932 KLUTTZ RD
CONCORD, NC 28025","704-786-1892","",""
"CROSS ROADS BAPTIST CHURCH","","","","100","Ground water","1217 CHILDS DR
HILLSBOROUGH, NC 27278","","",""
"CROSS ROADS COMMUNITY CHURCH","","","","100","Ground water","1807 LAWING RD
CHARLOTTE, NC 28216","704-394-4012","",""
"CROSS ROADS PIZZA","","","","100","Ground water","907 CEDAR ST
BEAUFORT, NC 28516","252-504-3882","",""
"CROSSNORE, TOWN OF","","","","200","Ground water","PO BOX 129
CROSSNORE, NC 28616","828-733-0360","",""
"CROSSROADS","","","","200","Ground water","742 HWY 70 OTWAY
BEAUFORT, NC 28516","252-504-4885","",""
"CROSSROADS CHURCH","","","","50","Ground water","6781 CAMDEN RD
FAYETTEVILLE, NC 28306","910-366-3869","",""
"CROSSROADS GRILL","","","","75","Ground water","6011 CHURCH RD
TAYLORSVILLE, NC 28681","828-632-5656","",""
"CROSSROADS MISSIONARY BAPTIST","","","","25","Ground water","690 CROSSROADS CHURCH RD
DOBSON, NC 27017","","",""
"CROSSWAY CHURCH","","","","85","Ground water","PO BOX 125
ALTAMAHAW, NC 27202","336-228-7204","",""
"CROSSWINDS BOATING CENTER LLC","","","","50","Ground water","565 FARRINGTON RD
APEX, NC 27523","919-387-7011","",""
"CROWDER DISTRICT PARK","","","","200","Ground water","5312 PINEWOOD CT
WENDELL, NC 27591","919-266-2864","",""
"CROWDER RIDGE MHP","","","","26","Ground water","P. O. BOX 625
GASTONIA, NC 28053","704-853-1377","",""
"CROWDERS CRK ARP CHURCH","","","","100","Ground water","207 CROWDERS CREEK CHURCH
GASTONIA, NC 28052","","",""
"CROWDERS MT GOLF CLUB","","","","25","Ground water","255 LINCOLN ACADEMY RD
KINGS MOUNTAIN, NC 28086","704-739-7681","",""
"CROWDERS MTN BAPTIST","","","","50","Ground water","125 MAYBERRY LN
KINGS MOUNTAIN, NC 28086","704-739-0310","",""
"CROWDERS MTN ST PARK-BREVARD RD","","","","100","Ground water","522 PARK OFFICE LANE
CROWDERS MOUNTAIN STATE PARK
KINGS MTN, NC 28086","704-853-5375","",""
"CROWDERS MTN ST PRK - BOULDERS ACCESS","","","","25","Ground water","522 PARK OFFICE LANE
ATTN: CROWDERS MTN STATE PK
KINGS MOUNTAIN, NC 28086","704-853-5375","",""
"CROWDERS MTN ST PRK PICNIC/CTR","","","","25","Ground water","3001 S MOUNTAIN STATE PARK AVE
CONNELLY SPRINGS, NC 28612","828-433-4772","",""
"CROWELL MEMORIAL UMC","","","","60","Ground water","4018 KILLIAN RD
LINCOLNTON, NC 28092","704-735-8889","",""
"CROWN MHP","","","","361","Ground water","PO BOX 1000
PITTSBORO, NC 27312","919-545-0635","",""
"CRUTCHFIELD FARMS S/D","","","","84","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"CRUZ N MART","","","","75","Ground water","12820 PINEWOOD TRAIL
LAURINBURG, NC 28352","910-610-5149","",""
"CRYSTAL MOUNTAIN","","","","85","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"CRYSTAL SPRINGS CHAPEL","","","","60","Ground water","1465 CRYSTAL SPRINGS ROAD
FAYETTEVILLE, NC 28306","910-424-3418","",""
"CULLASAJA ASSEMBLY OF GOD","","","","135","Ground water","6201 HIGHLAND RD
FRANKLIN, NC 28734","828-369-7540","",""
"CULLASAJA CLUB","","","","800","Ground water","1371 CULLASAJA CLUB DR
HIGHLANDS, NC 28741","828-526-2190","",""
"CULLASAJA RIVER CAMPGROUND","","","","211","Ground water","6269 HIGHLANDS RD
FRANKLIN, NC 28734","828-524-2559","",""
"CULLASAJA RIVER S/D","","","","53","Ground water","9 CULLASAJA CIRCLE
FRANKLIN, NC 28734","770-938-8774","",""
"CUMBERLAND KNOB MAINTENANCE","","","","25","Ground water","199 HEMPHILL KNOB RD
ASHEVILLE, NC 28803","336-372-8867","",""
"CUMBERLAND UNION BAPTIST CH","","","","50","Ground water","5300 MATT HAIRR RD
FAYETTEVILLE, NC 28312","910-483-4950","",""
"CURRITUCK COUNTY RURAL CENTER","","","","75","Ground water","120 COMMUNITY WAY
BARCO, NC 27917","252-232-2261","",""
"CURRITUCK COUNTY WATER SYSTEM","","","","11,898","Ground water","444 MAPLE RD
C/O CURRITUCK CO WATER
MAPLE, NC 27956","252-232-6061","",""
"CURTIS CREEK CAMPGROUND","","","","50","Ground water","109 EAST LAWING DR
NEBO, NC 28761","828-652-2144","",""
"CUSTOM PAK","","","","150","Ground water","PO BOX 2687
HENDERSONVILLE, NC 28793","828-685-7475","",""
"CUSTOM PRODUCTS","","","","150","Ground water","PO BOX 1141
MOORESVILLE, NC 28115","704-663-4159","",""
"CUTTER`S MART","","","","25","Ground water","1420 SPEER BRIDGE RD
YADKINVILLE, NC 27055","336-961-8700","",""
"CVS PHARMACY #7046 - HAMPSTEAD","","","","100","Ground water","1 CVS DR
WOONSOCKET, NC 02895","","",""
"CVS PHARMACY #7350 - CASTLE HAYNE RD","","","","100","Ground water","1 CVS DR
WOONSOCKET, NC 02895","","",""
"CYPRESS BRANCH PENT FWB CHURCH","","","","45","Ground water","PO BOX 471
FAIR BLUFF, NC 28439","910-649-5908","",""
"CYPRESS CREEK FWB CHURCH","","","","110","Ground water","1440 WARD TOWN RD
WHITEVILLE, NC 28472","910-362-4766","",""
"D & D  GROCERY","","","","150","Ground water","1130 BARNARDSVILLE HWY
WEAVERVILLE, NC 28787","828-626-2623","",""
"D & R FISHING LAKE & GRILL","","","","35","Ground water","266 BETHANY CHURCH ROAD
FAIRVIEW, NC 28730","828-628-1391","",""
"D H GRIFFIN","","","","25","Ground water","2840 HWY 421 N
WILMINGTON, NC 28401","910-763-2797","",""
"D&M RENTALS/HENRY MOBILE COURT","","","","58","Ground water","PO BOX 368
BESSEMER CITY, NC 28016","704-629-5321","",""
"DABNEY CONVENIENCE STORE","","","","200","Ground water","10 RUIN CREEK RD
HENDERSON, NC 27537","252-436-6064","",""
"DADDY SAM`S","","","","25","Ground water","2166 MAPLE GROVE CH RD
LOWGAP, NC 27024","336-320-2100","",""
"DALEWOOD-MONTERAY WTR SYSTEM","","","","142","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"DALLAS ACRES","","","","150","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"DALLAS, TOWN OF","","","","6,885","Surface water","210 NORTH HOLLAND STREET
DALLAS, NC 28034","704-922-1309","",""
"DALTON MCLAMB MLC NO 250","","","","40","Ground water","8008 NC HWY 96 SOUTH
BENSON, NC 27504","919-894-8641","",""
"DAN NICHOLAS PARK-CAMPGROUND","","","","191","Ground water","3541 OLD MOCKSVILLE RD
SALISBURY, NC 28144","704-637-1070","",""
"DAN NICHOLAS PARK-GIRL SCOUTS","","","","50","Ground water","3541 OLD MOCKSVILLE RD
SALISBURY, NC 28144","704-637-1070","",""
"DAN NICHOLAS PARK-PICNIC AREA","","","","100","Ground water","3541 OLD MOCKSVILLE RD
SALISBURY, NC 28144","704-637-1070","",""
"DAN RIVER FAMILY RESTAURANT","","","","25","Ground water","1050 SMURF ROAD
DANBURY, NC 27016","336-593-2110","",""
"DAN RIVER WATER INC","","","","11,890","Surface water purchased","610 PATRICK ST
EDEN, NC 27288","336-623-2526","",""
"DANBURY, TOWN OF","","","","250","Ground water","PO BOX 20
DANBURY, NC 27016","336-971-5151","",""
"DANIEL BOONE FAM CPG","","","","75","Ground water","7360 HWY 181 NORTH
MORGANTON, NC 28655","828-433-1200","",""
"DANIEL MORGAN WTR DISTRICT-NC","","","","250","Surface water purchased","PO BOX 116
CHESNEE, SC 29323","864-461-2235","",""
"DANIEL STOWE BOTANICAL GARDEN","","","","250","Ground water","6500 SOUTH NEW HOPE RD
BELMONT, NC 28012","704-829-1254","",""
"DANIEL`S LUTHERAN CHURCH","","","","75","Ground water","3170 REEPSVILLE RD
LINCOLNTON, NC 28092","704-735-2388","",""
"DANNY`S COUNTRY STORE & GRILL","","","","100","Ground water","6632 HWY 15 NORTH
OXFORD, NC 27565","919-693-3465","",""
"DARE CO-CAPE HATTERAS WATER","<a href=""javascript:popURL('http://www.darenc.com/water/Papers/CCRSouth.pdf');"">http://www.darenc.com/water/Papers/CCRSouth.pdf</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","<a href=""javascript:popURL('http://www.darenc.com/water/hat.asp');"">http://www.darenc.com/water/hat.asp</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","","5,486","Ground water","600 MUSTIAN STREET
KILL DEVIL HILLS, NC 27948","252-475-5606","",""
"DARE CO-RWS WATER SYSTEM","<a href=""javascript:popURL('http://www.darenc.com/water/Papers/CCRSouth.pdf');"">http://www.darenc.com/water/Papers/CCRSouth.pdf</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","<a href=""javascript:popURL('http://www.darenc.com/water/rws.asp');"">http://www.darenc.com/water/rws.asp</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","","2,100","Ground water","600 MUSTIAN STREET
KILL DEVIL HILLS, NC 27948","252-475-5606","",""
"DARE CO-STUMPY POINT WATER SYS","<a href=""javascript:popURL('http://www.darenc.com/water/Papers/CCRSouth.pdf');"">http://www.darenc.com/water/Papers/CCRSouth.pdf</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","<a href=""javascript:popURL('http://www.darenc.com/water/sp.asp');"">http://www.darenc.com/water/sp.asp</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","","269","Ground water","600 MUSTIAN STREET
KILL DEVIL HILLS, NC 27948","252-475-5606","",""
"DARE COUNTY WATER SYSTEM","<a href=""javascript:popURL('http://www.darenc.com/water/Papers/CCRRegional.pdf');"">http://www.darenc.com/water/Papers/CCRRegional.pdf</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","<a href=""javascript:popURL('http://www.darenc.com/water/facilities.asp');"">http://www.darenc.com/water/facilities.asp</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","","22,766","Ground water","600 MUSTIAN STREET
KILL DEVIL HILLS, NC 27948","252-475-5606","",""
"DARWIN`S CAFE","","","","25","Ground water","2840 HOOTS RD
HAMPTONVILLE, NC 27020","336-468-2212","",""
"DAVENPORT CAMPGROUND","","","","64","Ground water","359 HICKORY HILLS LN
HAYESVILLE, NC 28904","828-389-6137","",""
"DAVIDSON DOWNES","","","","188","Ground water","4542 IVY RUN LN
DENVER, NC 28037","","",""
"DAVIDSON POINT S/D","","","","417","Ground water","PO BOX 1685
ATTN: PROPERTY MGR
DAVIDSON, NC 28036","704-896-7224","",""
"DAVIDSON WATER INC","<a href=""javascript:popURL('http://www.davidsonwater.com/ccr/ccr.asp');"">http://www.davidsonwater.com/ccr/ccr.asp</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","","","147,455","Surface water","PO BOX 969
DAVIDSON WATER INC
WELCOME, NC 27374","336-787-5584","",""
"DAVIDSON WOODS S/D","","","","71","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"DAVIE COUNTY WATER SYSTEM","","","","29,502","Surface water","298 E DEPOT ST SUITE 200
MOCKSVILLE, NC 27028","336-753-6090","",""
"DAVIS GRILL & PUB","","","","25","Ground water","3899 E GREENSBORO CHAPEL HILL RD
SNOW CAMP, NC 27349","336-525-2449","",""
"DAVIS MHP","","","","74","Ground water","5852 OLD WALKER MILL RD
RANDLEMAN, NC 27317","","",""
"DAVIS TOWN MHP","","","","119","Ground water","808 EAGLE ROCK ROAD
WENDELL, NC 27591","919-669-2792","",""
"DAWN'S KITCHEN GOURMET TO GO","","","","25","Ground water","PO BOX 71
SUNMAN CONSULTING INC, DBA GOURMET TO GO
POINT HARBOR, NC 27964","252-491-2048","",""
"DAYS INN - WEST","","","","100","Ground water","2551 SMOKEY PARK HWY
CANDLER, NC 28715","828-667-9321","",""
"DAYSPRING BAPTIST CHURCH","","","","60","Ground water","1183 HAYSTACK ROAD
MT AIRY, NC 27030","888-559-0539","",""
"DAYSTAR CHURCH","","","","25","Ground water","504 BRISTOL DRIVE
STATESVILLE, NC 28677","704-878-2468","",""
"DEAL APARTMENTS","","","","58","Ground water","2839 EMMANUEL CHURCH RD
CONOVER, NC 28613","","",""
"DEAL CARE INN","","","","25","Ground water","PO BOX 1803
SHELBY, NC 28151","704-875-2817","",""
"DEAL ORCHARDS INC","","","","50","Ground water","7400 NC HWY 16 NORTH
TAYLORSVILLE, NC 28681","828-632-2304","",""
"DEALS GAP MOTORCYCLE MAINTENANCE","","","","30","Ground water","17548 TAPOCO RD
TAPOCO, NC 28771","828-498-2231","",""
"DEALS GAP MOTORCYCLE RESORT","","","","100","Ground water","17548 TAPOCO RD
TAPOCO, NC 28771","828-498-2231","",""
"DEARON VILLAGE S/D","","","","46","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"DEBBIE`S SNACK BAR","","","","25","Ground water","PO BOX 266
HAMPTONVILLE, NC 27020","","",""
"DEEP CREEK BAPTIST CHURCH","","","","75","Ground water","PO BOX 3452
PINEHURST, NC 28374-3452","","",""
"DEEP CREEK BAPTIST CHURCH","","","","125","Ground water","2712 SHACKTOWN ROAD
YADKINVILLE, NC 27055","336-961-8270","",""
"DEEP CREEK FRIENDS CHURCH","","","","25","Ground water","1140 DEEP CREEK CHURCH RD
YADKINVILLE, NC 27055","336-679-2800","",""
"DEEP RIVER CAMPGROUND","","","","25","Ground water","814 MCDOWELL COUNTRY TRAIL
ASHEBORO, NC 27203","336-629-4069","",""
"DEEP RUN WATER CORPORATION","","","","13,183","Surface water purchased","1821 LIDDELL RD
DEEP RUN, NC 28525","252-568-3006","",""
"DEEP SPRINGS COUNTRY CLUB","","","","25","Ground water","PO BOX 747
MADISON, NC 27205","336-427-4654","",""
"DEEP SPRINGS COUNTRY CLUB  NO 2","","","","25","Ground water","PO BOX 747
MADISON, NC 27205","336-427-4654","",""
"DEER PARK HEALTH & REHAB.","","","","290","Ground water","306 DEER PARK RD
NEBO, NC 28761","828-652-3032","",""
"DEER PARK RV","","","","100","Ground water","P O BOX 460
NEBO, NC 28761","828-659-8855","",""
"DEER PARK RV  NO 2","","","","40","Ground water","P O BOX 460
NEBO, NC 28761","828-659-8855","",""
"DEERCHASE S/D","","","","757","Ground water","233 HWY 70 EAST-SUITE 115
GARNER, NC 27529","919-662-0457","",""
"DEERFIELD INN","","","","25","Ground water","40 CHATUGE LANE
HAYESVILLE, NC 28904","828-389-8272","",""
"DEERFIELD LAKE","","","","70","Ground water","2830 HANKINS RD
MARION, NC 28752","828-442-6048","",""
